Species Name,Type,Source,Range ,COSEWICID
Solorina spongiosa,Common Species,NatureServe,No,NA
Solorinella asteriscus,Common Species,NatureServe,No,NA
Somateria spectabilis,Common Species,NatureServe,No,NA
Somatochlora albicincta,Common Species,NatureServe,No,NA
Somatochlora brevicincta,Common Species,NatureServe,No,NA
Somatochlora cingulata,Common Species,NatureServe,No,NA
Somatochlora elongata,Common Species,NatureServe,No,NA
Somatochlora forcipata,Common Species,NatureServe,No,NA
Somatochlora franklini,Common Species,NatureServe,No,NA
Somatochlora incurvata,Common Species,NatureServe,No,NA
Somatochlora kennedyi,Common Species,NatureServe,No,NA
Somatochlora minor,Common Species,NatureServe,No,NA
Somatochlora sahlbergi,Common Species,NatureServe,No,NA
Somatochlora semicircularis,Common Species,NatureServe,No,NA
Somatochlora septentrionalis,Common Species,NatureServe,No,NA
Somatochlora tenebrosa,Common Species,NatureServe,No,NA
Somatochlora walshii,Common Species,NatureServe,No,NA
Somatochlora whitehousei,Common Species,NatureServe,No,NA
Somatochlora williamsoni,Common Species,NatureServe,No,NA
Sorbus scopulina var. scopulina,Common Species,NatureServe,No,NA
Sorex dispar,Common Species,NatureServe,No,NA
Sorex gaspensis,Common Species,NatureServe,No,NA
Sorex hoyi,Common Species,NatureServe,No,NA
Sorex maritimensis,Common Species,NatureServe,No,NA
Sorex merriami,Common Species,NatureServe,No,NA
Sorex palustris brooksi,Common Species,NatureServe,No,NA
Sorex palustris,Common Species,NatureServe,No,NA
Sorex preblei,Common Species,NatureServe,No,NA
Sorex rohweri,Common Species,NatureServe,No,NA
Sorex trowbridgii,Common Species,NatureServe,No,NA
Sorex vagrans,Common Species,NatureServe,No,NA
Sparganium americanum,Common Species,NatureServe,No,NA
Sparganium androcladum,Common Species,NatureServe,No,NA
Sparganium fluctuans,Common Species,NatureServe,No,NA
Sparganium glomeratum,Common Species,NatureServe,No,NA
Sparganium hyperboreum,Common Species,NatureServe,No,NA
Sparganium natans,Common Species,NatureServe,No,NA
Spartina pectinata,Common Species,NatureServe,No,NA
Spea bombifrons,Common Species,NatureServe,No,NA
Spergularia canadensis var. occidentalis,Common Species,NatureServe,No,NA
Spergularia salina,Common Species,NatureServe,No,NA
Speyeria aphrodite manitoba,Common Species,NatureServe,No,NA
Speyeria aphrodite,Common Species,NatureServe,No,NA
Speyeria atlantis,Common Species,NatureServe,No,NA
Speyeria cybele cybele,Common Species,NatureServe,No,NA
Speyeria cybele pseudocarpenteri,Common Species,NatureServe,No,NA
Speyeria cybele,Common Species,NatureServe,No,NA
Speyeria edwardsii,Common Species,NatureServe,No,NA
Speyeria hydaspe,Common Species,NatureServe,No,NA
Speyeria mormonia erinna,Common Species,NatureServe,No,NA
Speyeria zerene bremnerii,Common Species,NatureServe,No,NA
Sphagnum aongstroemii,Common Species,NatureServe,No,NA
Sphagnum balticum,Common Species,NatureServe,No,NA
Sphagnum capillifolium,Common Species,NatureServe,No,NA
Sphagnum centrale,Common Species,NatureServe,No,NA
Sphagnum compactum,Common Species,NatureServe,No,NA
Sphagnum contortum,Common Species,NatureServe,No,NA
Sphagnum cuspidatum,Common Species,NatureServe,No,NA
Sphagnum fallax,Common Species,NatureServe,No,NA
Sphagnum fimbriatum var. concinnum,Common Species,NatureServe,No,NA
Sphagnum fimbriatum,Common Species,NatureServe,No,NA
Sphagnum flavicomans,Common Species,NatureServe,No,NA
Sphagnum flexuosum,Common Species,NatureServe,No,NA
Sphagnum lescurii,Common Species,NatureServe,No,NA
Sphagnum lindbergii,Common Species,NatureServe,No,NA
Sphagnum macrophyllum,Common Species,NatureServe,No,NA
Sphagnum majus,Common Species,NatureServe,No,NA
Sphagnum mirum,Common Species,NatureServe,No,NA
Sphagnum molle,Common Species,NatureServe,No,NA
Sphagnum nitidum,Common Species,NatureServe,No,NA
Sphagnum obtusum,Common Species,NatureServe,No,NA
Sphagnum olafii,Common Species,NatureServe,No,NA
Sphagnum orientale,Common Species,NatureServe,No,NA
Sphagnum platyphyllum,Common Species,NatureServe,No,NA
Sphagnum quinquefarium,Common Species,NatureServe,No,NA
Sphagnum rubiginosum,Common Species,NatureServe,No,NA
Sphagnum steerei,Common Species,NatureServe,No,NA
Sphagnum strictum,Common Species,NatureServe,No,NA
Sphagnum subnitens,Common Species,NatureServe,No,NA
Sphagnum torreyanum,Common Species,NatureServe,No,NA
Sphagnum tundrae,Common Species,NatureServe,No,NA
Sphagnum warnstorfii,Common Species,NatureServe,No,NA
Sphagnum wulfianum,Common Species,NatureServe,No,NA
Sphenopholis intermedia,Common Species,NatureServe,No,NA
Sphenopholis obtusata,Common Species,NatureServe,No,NA
Sphinctrina turbinata,Common Species,NatureServe,No,NA
Sphodros niger,Common Species,NatureServe,No,NA
Spinus pinus,Common Species,NatureServe,No,NA
Spiraea betulifolia var. lucida,Common Species,NatureServe,No,NA
Spiraea septentrionalis,Common Species,NatureServe,No,NA
Spiraea splendens,Common Species,NatureServe,No,NA
Spiranthes casei var. casei,Common Species,NatureServe,No,NA
Spiranthes casei var. novaescotiae,Common Species,NatureServe,No,NA
Spiranthes casei,Common Species,NatureServe,No,NA
Spiranthes cernua,Common Species,NatureServe,No,NA
Spiranthes diluvialis,Common Species,NatureServe,No,NA
Spiranthes lacera,Common Species,NatureServe,No,NA
Spiranthes lucida,Common Species,NatureServe,No,NA
Spiranthes magnicamporum,Common Species,NatureServe,No,NA
Spiranthes ochroleuca,Common Species,NatureServe,No,NA
Spiranthes ovalis,Common Species,NatureServe,No,NA
Spiranthes romanzoffiana,Common Species,NatureServe,No,NA
Spirinchus sp. 1,Common Species,NatureServe,No,NA
Spirodela polyrrhiza,Common Species,NatureServe,No,NA
Spizella breweri breweri,Common Species,NatureServe,No,NA
Splachnum ampullaceum,Common Species,NatureServe,No,NA
Splachnum luteum,Common Species,NatureServe,No,NA
Splachnum pennsylvanicum,Common Species,NatureServe,No,NA
Splachnum rubrum,Common Species,NatureServe,No,NA
Splachnum sphaericum,Common Species,NatureServe,No,NA
Splachnum vasculosum,Common Species,NatureServe,No,NA
Sporobolus airoides,Common Species,NatureServe,No,NA
Sporobolus compositus var. compositus,Common Species,NatureServe,No,NA
Sporobolus compositus,Common Species,NatureServe,No,NA
Sporobolus cryptandrus,Common Species,NatureServe,No,NA
Sporobolus heterolepis,Common Species,NatureServe,No,NA
Sporobolus neglectus,Common Species,NatureServe,No,NA
Sporobolus vaginiflorus var. vaginiflorus,Common Species,NatureServe,No,NA
Stachys tenuifolia,Common Species,NatureServe,No,NA
Staphylea trifolia,Common Species,NatureServe,No,NA
Staphylus hayhurstii,Common Species,NatureServe,No,NA
Staurothele areolata,Common Species,NatureServe,No,NA
Stegonia latifolia,Common Species,NatureServe,No,NA
Steinia geophana,Common Species,NatureServe,No,NA
Stelgidopteryx serripennis,Common Species,NatureServe,No,NA
Stellaria alsine,Common Species,NatureServe,No,NA
Stellaria borealis,Common Species,NatureServe,No,NA
Stellaria crassifolia,Common Species,NatureServe,No,NA
Stellaria crispa,Common Species,NatureServe,No,NA
Stellaria humifusa,Common Species,NatureServe,No,NA
Stellaria longifolia,Common Species,NatureServe,No,NA
Stellaria longipes ssp. arenicola,Common Species,NatureServe,No,NA
Stellaria longipes,Common Species,NatureServe,No,NA
Stellaria obtusa,Common Species,NatureServe,No,NA
Stellaria umbellata,Common Species,NatureServe,No,NA
Stenocybe major,Common Species,NatureServe,No,NA
Stenocybe pullatula,Common Species,NatureServe,No,NA
Stenodus leucichthys,Common Species,NatureServe,No,NA
Stenotrema barbatum,Common Species,NatureServe,No,NA
Stenotrema hirsutum,Common Species,NatureServe,No,NA
Stenotus macleanii,Common Species,NatureServe,No,NA
Stephanomeria runcinata,Common Species,NatureServe,No,NA
Stercorarius longicaudus,Common Species,NatureServe,No,NA
Stercorarius parasiticus,Common Species,NatureServe,No,NA
Stereocaulon arenarium,Common Species,NatureServe,No,NA
Stereocaulon condensatum,Common Species,NatureServe,No,NA
Stereocaulon glareosum,Common Species,NatureServe,No,NA
Stereocaulon grande,Common Species,NatureServe,No,NA
Stereocaulon rivulorum,Common Species,NatureServe,No,NA
Stereocaulon sasakii,Common Species,NatureServe,No,NA
Sterna forsteri,Common Species,NatureServe,No,NA
Sterna hirundo,Common Species,NatureServe,No,NA
Sterna paradisaea,Common Species,NatureServe,No,NA
Sticta arctica,Common Species,NatureServe,No,NA
Sticta fuliginosa,Common Species,NatureServe,No,NA
Sticta limbata,Common Species,NatureServe,No,NA
Storeria dekayi,Common Species,NatureServe,No,NA
Storeria occipitomaculata,Common Species,NatureServe,No,NA
Streptopus amplexifolius var. amplexifolius,Common Species,NatureServe,No,NA
Streptopus amplexifolius,Common Species,NatureServe,No,NA
Streptopus lanceolatus,Common Species,NatureServe,No,NA
Strix occidentalis,Common Species,NatureServe,No,NA
Strix varia,Common Species,NatureServe,No,NA
Strophitus undulatus,Common Species,NatureServe,No,NA
Strophostyles helvola,Common Species,NatureServe,No,NA
Strymon melinus,Common Species,NatureServe,No,NA
Stuckenia filiformis ssp. alpina,Common Species,NatureServe,No,NA
Stuckenia filiformis ssp. occidentalis,Common Species,NatureServe,No,NA
Stuckenia filiformis,Common Species,NatureServe,No,NA
Stuckenia pectinata,Common Species,NatureServe,No,NA
Stuckenia vaginata,Common Species,NatureServe,No,NA
Stylurus amnicola,Common Species,NatureServe,No,NA
Stylurus notatus,Common Species,NatureServe,No,NA
Stylurus scudderi,Common Species,NatureServe,No,NA
Stylurus spiniceps,Common Species,NatureServe,No,NA
Suaeda calceoliformis,Common Species,NatureServe,No,NA
Suaeda maritima ssp. richii,Common Species,NatureServe,No,NA
Suaeda moquinii,Common Species,NatureServe,No,NA
Suaeda rolandii,Common Species,NatureServe,No,NA
Subularia aquatica var. americana,Common Species,NatureServe,No,NA
Subularia aquatica,Common Species,NatureServe,No,NA
Succinea indiana,Common Species,NatureServe,No,NA
Suckleya suckleyana,Common Species,NatureServe,No,NA
Suksdorfia ranunculifolia,Common Species,NatureServe,No,NA
Sylvilagus nuttallii,Common Species,NatureServe,No,NA
Sympetrum corruptum,Common Species,NatureServe,No,NA
Sympetrum danae,Common Species,NatureServe,No,NA
Sympetrum madidum,Common Species,NatureServe,No,NA
Sympetrum obtrusum,Common Species,NatureServe,No,NA
Sympetrum semicinctum,Common Species,NatureServe,No,NA
Sympetrum vicinum,Common Species,NatureServe,No,NA
Symphyotrichum boreale,Common Species,NatureServe,No,NA
Symphyotrichum campestre,Common Species,NatureServe,No,NA
Symphyotrichum ciliatum,Common Species,NatureServe,No,NA
Symphyotrichum ciliolatum,Common Species,NatureServe,No,NA
Symphyotrichum dumosum,Common Species,NatureServe,No,NA
Symphyotrichum eatonii,Common Species,NatureServe,No,NA
Symphyotrichum ericoides var. ericoides,Common Species,NatureServe,No,NA
Symphyotrichum ericoides var. pansum,Common Species,NatureServe,No,NA
Symphyotrichum laeve,Common Species,NatureServe,No,NA
Symphyotrichum novi-belgii var. crenifolium,Common Species,NatureServe,No,NA
Symphyotrichum novi-belgii var. villicaule,Common Species,NatureServe,No,NA
Symphyotrichum pilosum var. pringlei,Common Species,NatureServe,No,NA
Symphyotrichum puniceum var. puniceum,Common Species,NatureServe,No,NA
Symphyotrichum racemosum,Common Species,NatureServe,No,NA
Symphyotrichum robynsianum,Common Species,NatureServe,No,NA
Symphyotrichum subulatum var. 1,Common Species,NatureServe,No,NA
Symphyotrichum undulatum,Common Species,NatureServe,No,NA
Symphyotrichum yukonense,Common Species,NatureServe,No,NA
Symplocarpus foetidus,Common Species,NatureServe,No,NA
Synaptomys borealis,Common Species,NatureServe,No,NA
Synaptomys cooperi,Common Species,NatureServe,No,NA
Syngrapha altera,Common Species,NatureServe,No,NA
Syngrapha selecta,Common Species,NatureServe,No,NA
Synthyris borealis,Common Species,NatureServe,No,NA
Syntrichia laevipila,Common Species,NatureServe,No,NA
Syntrichia ruralis,Common Species,NatureServe,No,NA
Taenidia integerrima,Common Species,NatureServe,No,NA
Tanacetum bipinnatum ssp. huronense,Common Species,NatureServe,No,NA
Tanacetum bipinnatum var. 1,Common Species,NatureServe,No,NA
Taraxacum carneocoloratum,Common Species,NatureServe,No,NA
Taraxacum hyparcticum,Common Species,NatureServe,No,NA
Taraxacum latilobum,Common Species,NatureServe,No,NA
Taraxacum laurentianum,Common Species,NatureServe,No,NA
Taraxacum officinale ssp. ceratophorum,Common Species,NatureServe,No,NA
Taxiphyllum deplanatum,Common Species,NatureServe,No,NA
Taxus brevifolia,Common Species,NatureServe,No,NA
Tayloria lingulata,Common Species,NatureServe,No,NA
Tayloria serrata,Common Species,NatureServe,No,NA
Telesonix heucheriformis,Common Species,NatureServe,No,NA
Teloschistes arcticus,Common Species,NatureServe,No,NA
Teloschistes chrysophthalmus,Common Species,NatureServe,No,NA
Tephroseris lindstroemii,Common Species,NatureServe,No,NA
Tetraneuris acaulis var. acaulis,Common Species,NatureServe,No,NA
Tetraphis geniculata,Common Species,NatureServe,No,NA
Tetraplodon angustatus,Common Species,NatureServe,No,NA
Tetrodontium brownianum,Common Species,NatureServe,No,NA
Tetrodontium ovatum,Common Species,NatureServe,No,NA
Tetrodontium repandum,Common Species,NatureServe,No,NA
Teucrium canadense var. occidentale,Common Species,NatureServe,No,NA
Teucrium canadense,Common Species,NatureServe,No,NA
Thalictrum dasycarpum,Common Species,NatureServe,No,NA
Thalictrum revolutum,Common Species,NatureServe,No,NA
Thalictrum thalictroides,Common Species,NatureServe,No,NA
Thalictrum venulosum,Common Species,NatureServe,No,NA
Thamnobryum alleghaniense,Common Species,NatureServe,No,NA
Thamnolia vermicularis,Common Species,NatureServe,No,NA
Thamnophis sauritus pop. 3,Common Species,NatureServe,No,NA
Thamnophis sirtalis sirtalis,Common Species,NatureServe,No,NA
Thamnophis sirtalis,Common Species,NatureServe,No,NA
Thaspium chapmanii,Common Species,NatureServe,No,NA
Thaspium trifoliatum,Common Species,NatureServe,No,NA
Thelia hirtella,Common Species,NatureServe,No,NA
Thelypodium laciniatum var. laciniatum,Common Species,NatureServe,No,NA
Thelypteris nevadensis,Common Species,NatureServe,No,NA
Thelypteris simulata,Common Species,NatureServe,No,NA
Thermopsis rhombifolia,Common Species,NatureServe,No,NA
Tholurna dissimilis,Common Species,NatureServe,No,NA
Thorybes pylades,Common Species,NatureServe,No,NA
Thuidium philibertii,Common Species,NatureServe,No,NA
Thuja occidentalis,Common Species,NatureServe,No,NA
Thuja plicata,Common Species,NatureServe,No,NA
Thyrea confusa,Common Species,NatureServe,No,NA
Thysanocarpus curvipes,Common Species,NatureServe,No,NA
Tiarella cordifolia,Common Species,NatureServe,No,NA
Timmia austriaca,Common Species,NatureServe,No,NA
Timmia megapolitana,Common Species,NatureServe,No,NA
Timmia norvegica var. excurrens,Common Species,NatureServe,No,NA
Timmia norvegica,Common Species,NatureServe,No,NA
Tofieldia coccinea,Common Species,NatureServe,No,NA
Tokidadendron kurilensis,Common Species,NatureServe,No,NA
Tomentypnum falcifolium,Common Species,NatureServe,No,NA
Tomentypnum nitens,Common Species,NatureServe,No,NA
Torreyochloa pallida var. pallida,Common Species,NatureServe,No,NA
Tortella arctica,Common Species,NatureServe,No,NA
Tortella fragilis,Common Species,NatureServe,No,NA
Tortella humilis,Common Species,NatureServe,No,NA
Tortella inclinata,Common Species,NatureServe,No,NA
Tortula bartramii,Common Species,NatureServe,No,NA
Tortula caninervis,Common Species,NatureServe,No,NA
Tortula mucronifolia,Common Species,NatureServe,No,NA
Tortula scotteri,Common Species,NatureServe,No,NA
Tortula subulata,Common Species,NatureServe,No,NA
Townsendia condensata,Common Species,NatureServe,No,NA
Townsendia exscapa,Common Species,NatureServe,No,NA
Townsendia hookeri,Common Species,NatureServe,No,NA
Townsendia parryi,Common Species,NatureServe,No,NA
Toxicodendron diversilobum,Common Species,NatureServe,No,NA
Toxicodendron radicans,Common Species,NatureServe,No,NA
Toxicodendron rydbergii,Common Species,NatureServe,No,NA
Toxicodendron vernix,Common Species,NatureServe,No,NA
Toxostoma rufum,Common Species,NatureServe,No,NA
Tradescantia ohiensis,Common Species,NatureServe,No,NA
Tramea carolina,Common Species,NatureServe,No,NA
Trapeliopsis flexuosa,Common Species,NatureServe,No,NA
Tremolecia atrata,Common Species,NatureServe,No,NA
Triadenum virginicum,Common Species,NatureServe,No,NA
Triantha glutinosa,Common Species,NatureServe,No,NA
Trichodon cylindricus,Common Species,NatureServe,No,NA
Trichophorum alpinum,Common Species,NatureServe,No,NA
Trichophorum caespitosum,Common Species,NatureServe,No,NA
Trichophorum clintonii,Common Species,NatureServe,No,NA
Trichophorum pumilum,Common Species,NatureServe,No,NA
Trichostema brachiatum,Common Species,NatureServe,No,NA
Trichostema dichotomum,Common Species,NatureServe,No,NA
Trichostema oblongum,Common Species,NatureServe,No,NA
Trientalis europaea ssp. arctica,Common Species,NatureServe,No,NA
Trifolium cyathiferum,Common Species,NatureServe,No,NA
Trifolium depauperatum var. depauperatum,Common Species,NatureServe,No,NA
Trifolium dichotomum,Common Species,NatureServe,No,NA
Triglochin concinna,Common Species,NatureServe,No,NA
Triglochin gaspensis,Common Species,NatureServe,No,NA
Triglochin palustris,Common Species,NatureServe,No,NA
Trillium cernuum,Common Species,NatureServe,No,NA
Trillium ovatum var. hibbersonii,Common Species,NatureServe,No,NA
Trillium ovatum,Common Species,NatureServe,No,NA
Tringa incana,Common Species,NatureServe,No,NA
Tringa melanoleuca,Common Species,NatureServe,No,NA
Tringa semipalmata,Common Species,NatureServe,No,NA
Tringa solitaria,Common Species,NatureServe,No,NA
Triodopsis tridentata,Common Species,NatureServe,No,NA
Triodopsis vulgata,Common Species,NatureServe,No,NA
Triosteum aurantiacum,Common Species,NatureServe,No,NA
Triosteum perfoliatum,Common Species,NatureServe,No,NA
Triphysaria versicolor ssp. versicolor,Common Species,NatureServe,No,NA
Tripleurospermum maritima ssp. phaeocephala,Common Species,NatureServe,No,NA
Trisetum canescens,Common Species,NatureServe,No,NA
Trisetum cernuum,Common Species,NatureServe,No,NA
Trisetum melicoides,Common Species,NatureServe,No,NA
Trisetum sibiricum,Common Species,NatureServe,No,NA
Trisetum spicatum,Common Species,NatureServe,No,NA
Tritomaria exsecta,Common Species,NatureServe,No,NA
Tritomaria heterophylla,Common Species,NatureServe,No,NA
Tritomaria quinquedentata var. turgida,Common Species,NatureServe,No,NA
Tritomaria scitula,Common Species,NatureServe,No,NA
Troglodytes aedon,Common Species,NatureServe,No,NA
Tsuga canadensis,Common Species,NatureServe,No,NA
Tuckermannopsis orbata,Common Species,NatureServe,No,NA
Tympanuchus phasianellus columbianus,Common Species,NatureServe,No,NA
Typha latifolia,Common Species,NatureServe,No,NA
Tyrannus tyrannus,Common Species,NatureServe,No,NA
Tyrannus verticalis,Common Species,NatureServe,No,NA
Ulmus americana,Common Species,NatureServe,No,NA
Ulmus thomasii,Common Species,NatureServe,No,NA
Ulota curvifolia,Common Species,NatureServe,No,NA
Ulota drummondii,Common Species,NatureServe,No,NA
Ulota phyllantha,Common Species,NatureServe,No,NA
Umbilicaria americana,Common Species,NatureServe,No,NA
Umbilicaria caroliniana,Common Species,NatureServe,No,NA
Umbilicaria cylindrica,Common Species,NatureServe,No,NA
Umbilicaria hirsuta,Common Species,NatureServe,No,NA
Umbilicaria lambii,Common Species,NatureServe,No,NA
Umbilicaria muehlenbergii,Common Species,NatureServe,No,NA
Umbra limi,Common Species,NatureServe,No,NA
Uria aalge,Common Species,NatureServe,No,NA
Uria lomvia,Common Species,NatureServe,No,NA
Ursus arctos horribilis,Common Species,NatureServe,No,NA
Ursus arctos,Common Species,NatureServe,No,NA
Usnea angulata,Common Species,NatureServe,No,NA
Usnea flammea,Common Species,NatureServe,No,NA
Usnea fulvoreagens,Common Species,NatureServe,No,NA
Usnea longissima,Common Species,NatureServe,No,NA
Usnea mutabilis,Common Species,NatureServe,No,NA
Usnea rubicunda,Common Species,NatureServe,No,NA
Usnea scabiosa,Common Species,NatureServe,No,NA
Usnea sphacelata,Common Species,NatureServe,No,NA
Utricularia cornuta,Common Species,NatureServe,No,NA
Utricularia geminiscapa,Common Species,NatureServe,No,NA
Utricularia gibba,Common Species,NatureServe,No,NA
Utricularia macrorhiza,Common Species,NatureServe,No,NA
Utricularia minor,Common Species,NatureServe,No,NA
Utricularia radiata,Common Species,NatureServe,No,NA
Utricularia resupinata,Common Species,NatureServe,No,NA
Uvularia perfoliata,Common Species,NatureServe,No,NA
Uvularia sessilifolia,Common Species,NatureServe,No,NA
Vaccinium boreale,Common Species,NatureServe,No,NA
Vaccinium caespitosum,Common Species,NatureServe,No,NA
Vaccinium corymbosum,Common Species,NatureServe,No,NA
Vaccinium membranaceum,Common Species,NatureServe,No,NA
Vaccinium ovalifolium,Common Species,NatureServe,No,NA
Vaccinium uliginosum,Common Species,NatureServe,No,NA
Vaccinium vitis-idaea ssp. minus,Common Species,NatureServe,No,NA
Valeriana edulis var. edulis,Common Species,NatureServe,No,NA
Valeriana edulis,Common Species,NatureServe,No,NA
Valeriana uliginosa,Common Species,NatureServe,No,NA
Vallisneria americana,Common Species,NatureServe,No,NA
Vallonia cyclophorella,Common Species,NatureServe,No,NA
Vallonia parvula,Common Species,NatureServe,No,NA
Vanessa annabella,Common Species,NatureServe,No,NA
Vanessa virginiensis,Common Species,NatureServe,No,NA
Verbena bracteata,Common Species,NatureServe,No,NA
Verbena hastata var. scabra,Common Species,NatureServe,No,NA
Verbena hastata,Common Species,NatureServe,No,NA
Verbena simplex,Common Species,NatureServe,No,NA
Verbena stricta,Common Species,NatureServe,No,NA
Verbena urticifolia,Common Species,NatureServe,No,NA
Verbesina alternifolia,Common Species,NatureServe,No,NA
Vernonia fasciculata ssp. corymbosa,Common Species,NatureServe,No,NA
Vernonia gigantea,Common Species,NatureServe,No,NA
Vernonia missurica,Common Species,NatureServe,No,NA
Veronica alpina,Common Species,NatureServe,No,NA
Veronica anagallis-aquatica,Common Species,NatureServe,No,NA
Veronica catenata,Common Species,NatureServe,No,NA
Veronica scutellata,Common Species,NatureServe,No,NA
Veronica serpyllifolia ssp. humifusa,Common Species,NatureServe,No,NA
Veronicastrum virginicum,Common Species,NatureServe,No,NA
Verrucaria aethiobola,Common Species,NatureServe,No,NA
Verrucaria nigrescens,Common Species,NatureServe,No,NA
Vertigo elatior,Common Species,NatureServe,No,NA
Vertigo paradoxa,Common Species,NatureServe,No,NA
Vestergrenopsis isidiata,Common Species,NatureServe,No,NA
Vezdaea leprosa,Common Species,NatureServe,No,NA
Viburnum acerifolium,Common Species,NatureServe,No,NA
Viburnum edule,Common Species,NatureServe,No,NA
Viburnum lantanoides,Common Species,NatureServe,No,NA
Viburnum lentago,Common Species,NatureServe,No,NA
Viburnum recognitum,Common Species,NatureServe,No,NA
Vicia americana,Common Species,NatureServe,No,NA
Vicia caroliniana,Common Species,NatureServe,No,NA
Viola adunca var. adunca,Common Species,NatureServe,No,NA
Viola adunca,Common Species,NatureServe,No,NA
Viola affinis,Common Species,NatureServe,No,NA
Viola biflora ssp. biflora,Common Species,NatureServe,No,NA
Viola biflora ssp. carlottae,Common Species,NatureServe,No,NA
Viola canadensis,Common Species,NatureServe,No,NA
Viola epipsila,Common Species,NatureServe,No,NA
Viola howellii,Common Species,NatureServe,No,NA
Viola labradorica,Common Species,NatureServe,No,NA
Viola lanceolata,Common Species,NatureServe,No,NA
Viola macloskeyi ssp. pallens,Common Species,NatureServe,No,NA
Viola nephrophylla,Common Species,NatureServe,No,NA
Viola novae-angliae,Common Species,NatureServe,No,NA
Viola palmata,Common Species,NatureServe,No,NA
Viola pedatifida,Common Species,NatureServe,No,NA
Viola praemorsa ssp. linguifolia,Common Species,NatureServe,No,NA
Viola pubescens,Common Species,NatureServe,No,NA
Viola renifolia,Common Species,NatureServe,No,NA
Viola rostrata,Common Species,NatureServe,No,NA
Viola sagittata var. ovata,Common Species,NatureServe,No,NA
Viola sagittata var. sagittata,Common Species,NatureServe,No,NA
Viola selkirkii,Common Species,NatureServe,No,NA
Viola septentrionalis,Common Species,NatureServe,No,NA
Viola sororia,Common Species,NatureServe,No,NA
Viola striata,Common Species,NatureServe,No,NA
Vireo gilvus,Common Species,NatureServe,No,NA
Vireo griseus,Common Species,NatureServe,No,NA
Vireo philadelphicus,Common Species,NatureServe,No,NA
Vitis labrusca,Common Species,NatureServe,No,NA
Vitis riparia,Common Species,NatureServe,No,NA
Vulpia octoflora,Common Species,NatureServe,No,NA
Waldsteinia fragarioides,Common Species,NatureServe,No,NA
Warnstorfia tundrae,Common Species,NatureServe,No,NA
Webbhelix multilineata,Common Species,NatureServe,No,NA
Weissia controversa,Common Species,NatureServe,No,NA
Wijkia carlottae,Common Species,NatureServe,No,NA
Williamsonia fletcheri,Common Species,NatureServe,No,NA
Wolffia borealis,Common Species,NatureServe,No,NA
Wolffia columbiana,Common Species,NatureServe,No,NA
Woodsia alpina,Common Species,NatureServe,No,NA
Woodsia glabella,Common Species,NatureServe,No,NA
Woodsia obtusa,Common Species,NatureServe,No,NA
Woodsia oregana ssp. cathcartiana,Common Species,NatureServe,No,NA
Woodsia oregana ssp. oregana,Common Species,NatureServe,No,NA
Woodsia scopulina ssp. laurentiana,Common Species,NatureServe,No,NA
Woodsia scopulina,Common Species,NatureServe,No,NA
Woodwardia areolata,Common Species,NatureServe,No,NA
Woodwardia fimbriata,Common Species,NatureServe,No,NA
Woodwardia virginica,Common Species,NatureServe,No,NA
Xanthium strumarium var. canadense,Common Species,NatureServe,No,NA
Xanthium strumarium,Common Species,NatureServe,No,NA
Xanthocephalus xanthocephalus,Common Species,NatureServe,No,NA
Xanthoparmelia camtschadalis,Common Species,NatureServe,No,NA
Xanthoparmelia conspersa,Common Species,NatureServe,No,NA
Xanthoria fulva,Common Species,NatureServe,No,NA
Xanthoria hasseana,Common Species,NatureServe,No,NA
Xolotrema denotatum,Common Species,NatureServe,No,NA
Xylographa parallela,Common Species,NatureServe,No,NA
Xylographa vitiligo,Common Species,NatureServe,No,NA
Xyloschistes platytropa,Common Species,NatureServe,No,NA
Xyris difformis,Common Species,NatureServe,No,NA
Xyris montana,Common Species,NatureServe,No,NA
Xysticus albertensis,Common Species,NatureServe,No,NA
Yabea microcarpa,Common Species,NatureServe,No,NA
Zacoleus idahoensis,Common Species,NatureServe,No,NA
Zahlbrucknerella calcarea,Common Species,NatureServe,No,NA
Zannichellia palustris,Common Species,NatureServe,No,NA
Zizania aquatica var. aquatica,Common Species,NatureServe,No,NA
Zizania aquatica var. brevis,Common Species,NatureServe,No,NA
Zizania aquatica,Common Species,NatureServe,No,NA
Zizia aptera,Common Species,NatureServe,No,NA
Zizia aurea,Common Species,NatureServe,No,NA
Zygodon gracilis,Common Species,NatureServe,No,NA
Zygodon viridissimus var. rupestris,Common Species,NatureServe,No,NA
Zygodon viridissimus var. viridissimus,Common Species,NatureServe,No,NA
Zygodon viridissimus,Common Species,NatureServe,No,NA
Podiceps auritus,SAR,ECCC,Yes,1046
Lotus formosissimus,SAR,ECCC,Yes,12
Athene cunicularia,SAR,ECCC,Yes,20
Charadrius montanus,SAR,ECCC,Yes,27
Oreoscoptes montanus,SAR,ECCC,Yes,32
Strix occidentalis caurina,SAR,ECCC,Yes,33
Tympanuchus cupido,SAR,ECCC,Yes,35
Lanius ludovicianus excubitorides,SAR,ECCC,Yes,38
Brachyramphus marmoratus,SAR,ECCC,Yes,39
Picoides albolarvatus,SAR,ECCC,Yes,41
Icteria virens auricollis,SAR,ECCC,Yes,42
Synthliboramphus antiquus,SAR,ECCC,Yes,43
Tyto alba,SAR,ECCC,Yes,44
Buteo regalis,SAR,ECCC,Yes,47
Otus flammeolus,SAR,ECCC,Yes,48
Numenius americanus,SAR,ECCC,Yes,52
Falco peregrinus pealei,SAR,ECCC,Yes,54
