Species Name,Type,Source,Range ,COSEWICID
Coturnicops noveboracensis,Common Species,eBird,Yes,NA
Laterallus jamaicensis,Common Species,eBird,Yes,NA
Aramus guarauna,Common Species,eBird,Yes,NA
Antigone canadensis,Common Species,eBird,Yes,NA
Antigone antigone,Common Species,eBird,Yes,NA
Himantopus himantopus,Common Species,eBird,Yes,NA
Himantopus mexicanus,Common Species,eBird,Yes,NA
Recurvirostra americana,Common Species,eBird,Yes,NA
Haematopus finschi,Common Species,eBird,Yes,NA
Haematopus palliatus,Common Species,eBird,Yes,NA
Haematopus ater,Common Species,eBird,Yes,NA
Haematopus leucopodus,Common Species,eBird,Yes,NA
Haematopus bachmani,Common Species,eBird,Yes,NA
Pluvialis squatarola,Common Species,eBird,Yes,NA
Pluvialis dominica,Common Species,eBird,Yes,NA
Pluvialis fulva,Common Species,eBird,Yes,NA
Vanellus vanellus,Common Species,eBird,Yes,NA
Vanellus chilensis,Common Species,eBird,Yes,NA
Charadrius obscurus,Common Species,eBird,Yes,NA
Charadrius falklandicus,Common Species,eBird,Yes,NA
